t,T_tr,T_v,rho_N2,rho_N,rho_O2,rho_O,rho_NO
8.6e-13,11647.7,9873.61,0.767,2.52764e-07,0.232986,1.37814e-05,1.60204e-10
8.7e-13,11584.9,10032.1,0.767,2.70854e-07,0.232986,1.436e-05,1.72744e-10
8.8e-13,11521.9,10190.7,0.767,2.89784e-07,0.232985,1.49505e-05,1.86005e-10
8.9e-13,11458.9,10349.6,0.767,3.09566e-07,0.232984,1.55529e-05,2.00014e-10
9e-13,11395.7,10508.6,0.767,3.3021e-07,0.232984,1.61669e-05,2.14794e-10
9.1e-13,11332.6,10667.7,0.767,3.51724e-07,0.232983,1.67925e-05,2.30369e-10
9.2e-13,11269.4,10826.8,0.767,3.74115e-07,0.232983,1.74294e-05,2.46765e-10
9.3e-13,11206.1,10986,0.767,3.9739e-07,0.232982,1.80774e-05,2.64007e-10
9.4e-13,11142.9,11145.2,0.767,4.21552e-07,0.232981,1.87365e-05,2.82118e-10
9.5e-13,11079.6,11304.4,0.767,4.46607e-07,0.232981,1.94063e-05,3.01123e-10
9.6e-13,11016.4,11463.5,0.767,4.72555e-07,0.23298,2.00868e-05,3.21047e-10
9.7e-13,10953.2,11622.5,0.767,4.99398e-07,0.232979,2.07777e-05,3.41914e-10
9.8e-13,10890,11781.4,0.766999,5.27135e-07,0.232979,2.14787e-05,3.63748e-10
9.9e-13,10826.9,11940.1,0.766999,5.55767e-07,0.232978,2.21898e-05,3.86574e-10
1e-12,10763.8,12098.7,0.766999,5.85289e-07,0.232977,2.29106e-05,4.10414e-10
1.01e-12,10700.8,12257,0.766999,6.15698e-07,0.232976,2.36411e-05,4.35293e-10
1.02e-12,10638,12415,0.766999,6.4699e-07,0.232976,2.43809e-05,4.61235e-10
1.03e-12,10575.2,12572.8,0.766999,6.79158e-07,0.232975,2.51299e-05,4.88261e-10
1.04e-12,10512.5,12730.2,0.766999,7.12196e-07,0.232974,2.58879e-05,5.16397e-10
1.05e-12,10450,12887.3,0.766999,7.46096e-07,0.232973,2.66545e-05,5.45664e-10
1.06e-12,10387.6,13044,0.766999,7.80847e-07,0.232973,2.74297e-05,5.76085e-10
1.07e-12,10325.4,13200.3,0.766999,8.16441e-07,0.232972,2.82132e-05,6.07682e-10
1.08e-12,10263.3,13356.2,0.766999,8.52866e-07,0.232971,2.90047e-05,6.40478e-10
1.09e-12,10201.4,13511.6,0.766999,8.9011e-07,0.23297,2.98041e-05,6.74494e-10
1.1e-12,10139.7,13666.5,0.766999,9.28161e-07,0.232969,3.06111e-05,7.09751e-10
1.11e-12,10078.2,13820.9,0.766999,9.67005e-07,0.232969,3.14256e-05,7.46272e-10
1.12e-12,10016.9,13974.8,0.766999,1.00663e-06,0.232968,3.22472e-05,7.84077e-10
1.13e-12,9955.87,14128.1,0.766999,1.04701e-06,0.232967,3.30758e-05,8.23187e-10
1.14e-12,9895.03,14280.8,0.766999,1.08814e-06,0.232966,3.39112e-05,8.63622e-10
1.15e-12,9834.43,14432.9,0.766999,1.13001e-06,0.232965,3.4753e-05,9.05402e-10
1.16e-12,9774.09,14584.3,0.766999,1.17259e-06,0.232964,3.56012e-05,9.48547e-10
1.17e-12,9714.01,14735.1,0.766999,1.21586e-06,0.232964,3.64555e-05,9.93077e-10
1.18e-12,9654.2,14885.1,0.766999,1.25981e-06,0.232963,3.73157e-05,1.03901e-09
1.19e-12,9594.67,15034.5,0.766999,1.30442e-06,0.232962,3.81816e-05,1.08637e-09
1.2e-12,9535.44,15183.1,0.766999,1.34967e-06,0.232961,3.90529e-05,1.13517e-09
1.21e-12,9476.5,15330.9,0.766999,1.39554e-06,0.23296,3.99294e-05,1.18542e-09
1.22e-12,9417.88,15478,0.766999,1.44202e-06,0.232959,4.08111e-05,1.23716e-09
1.23e-12,9359.57,15624.2,0.766999,1.48907e-06,0.232958,4.16975e-05,1.29039e-09
1.24e-12,9301.59,15769.6,0.766998,1.53668e-06,0.232957,4.25886e-05,1.34513e-09
1.25e-12,9243.94,15914.2,0.766998,1.58483e-06,0.232957,4.34841e-05,1.40141e-09
1.26e-12,9186.64,16057.9,0.766998,1.6335e-06,0.232956,4.43838e-05,1.45923e-09
1.27e-12,9129.7,16200.6,0.766998,1.68267e-06,0.232955,4.52876e-05,1.51861e-09
1.28e-12,9073.11,16342.5,0.766998,1.73232e-06,0.232954,4.61952e-05,1.57958e-09
1.29e-12,9016.89,16483.5,0.766998,1.78242e-06,0.232953,4.71065e-05,1.64214e-09
1.3e-12,8961.05,16623.5,0.766998,1.83295e-06,0.232952,4.80213e-05,1.70632e-09
1.31e-12,8905.59,16762.5,0.766998,1.8839e-06,0.232951,4.89393e-05,1.77212e-09
1.32e-12,8850.51,16900.6,0.766998,1.93524e-06,0.23295,4.98604e-05,1.83957e-09
1.33e-12,8795.84,17037.6,0.766998,1.98695e-06,0.232949,5.07844e-05,1.90867e-09
1.34e-12,8741.57,17173.7,0.766998,2.03901e-06,0.232948,5.17112e-05,1.97945e-09
1.35e-12,8687.72,17308.6,0.766998,2.0914e-06,0.232947,5.26406e-05,2.05192e-09
1.36e-12,8634.28,17442.6,0.766998,2.1441e-06,0.232946,5.35723e-05,2.1261e-09
1.37e-12,8581.26,17575.4,0.766998,2.19709e-06,0.232945,5.45063e-05,2.20199e-09
1.38e-12,8528.68,17707.2,0.766998,2.25035e-06,0.232945,5.54424e-05,2.27961e-09
1.39e-12,8476.53,17837.9,0.766998,2.30385e-06,0.232944,5.63804e-05,2.35899e-09
1.4e-12,8424.83,17967.5,0.766998,2.35759e-06,0.232943,5.73201e-05,2.44012e-09
1.41e-12,8373.57,18095.9,0.766998,2.41153e-06,0.232942,5.82614e-05,2.52303e-09
1.42e-12,8322.77,18223.2,0.766998,2.46566e-06,0.232941,5.92042e-05,2.60773e-09
1.43e-12,8272.43,18349.3,0.766997,2.51996e-06,0.23294,6.01483e-05,2.69423e-09
1.44e-12,8222.55,18474.3,0.766997,2.57442e-06,0.232939,6.10936e-05,2.78255e-09
1.45e-12,8173.14,18598.1,0.766997,2.62901e-06,0.232938,6.20399e-05,2.87269e-09
1.46e-12,8124.21,18720.7,0.766997,2.68372e-06,0.232937,6.29871e-05,2.96469e-09
1.47e-12,8075.76,18842.1,0.766997,2.73853e-06,0.232936,6.3935e-05,3.05854e-09
1.48e-12,8027.79,18962.2,0.766997,2.79343e-06,0.232935,6.48836e-05,3.15426e-09
1.49e-12,7980.31,19081.2,0.766997,2.84839e-06,0.232934,6.58327e-05,3.25187e-09
1.5e-12,7933.33,19198.9,0.766997,2.9034e-06,0.232933,6.67822e-05,3.35137e-09
1.51e-12,7886.84,19315.3,0.766997,2.95845e-06,0.232932,6.77319e-05,3.45279e-09
1.52e-12,7840.86,19430.5,0.766997,3.01352e-06,0.232931,6.86818e-05,3.55614e-09
1.53e-12,7795.38,19544.4,0.766997,3.0686e-06,0.23293,6.96318e-05,3.66142e-09
1.54e-12,7750.42,19657,0.766997,3.12366e-06,0.232929,7.05817e-05,3.76866e-09
1.55e-12,7705.97,19768.4,0.766997,3.17871e-06,0.232928,7.15314e-05,3.87787e-09
1.56e-12,7662.03,19878.4,0.766997,3.23372e-06,0.232928,7.24809e-05,3.98906e-09
1.57e-12,7618.62,19987.1,0.766997,3.28869e-06,0.232927,7.34301e-05,4.10224e-09
1.58e-12,7575.73,20094.6,0.766997,3.3436e-06,0.232926,7.43787e-05,4.21743e-09
1.59e-12,7533.38,20200.6,0.766997,3.39843e-06,0.232925,7.53269e-05,4.33465e-09
1.6e-12,7491.55,20305.4,0.766997,3.45319e-06,0.232924,7.62744e-05,4.45391e-09
1.61e-12,7450.26,20408.8,0.766996,3.50785e-06,0.232923,7.72212e-05,4.57522e-09
1.62e-12,7409.5,20510.8,0.766996,3.56241e-06,0.232922,7.81673e-05,4.6986e-09
1.63e-12,7369.29,20611.5,0.766996,3.61686e-06,0.232921,7.91125e-05,4.82407e-09
