t,T_tr,T_v,rho_N2,rho_N,rho_O2,rho_O,rho_NO
2.4506e-10,9913.11,13490.3,0.766164,0.000560954,0.218332,0.0143547,0.000588381
2.4507e-10,9857.34,13632.6,0.766164,0.000560996,0.218331,0.0143555,0.000588399
2.4508e-10,9801.78,13774.4,0.766164,0.00056104,0.21833,0.0143563,0.000588416
2.4509e-10,9746.43,13915.7,0.766164,0.000561084,0.218329,0.0143571,0.000588433
2.451e-10,9691.31,14056.3,0.766164,0.000561129,0.218328,0.0143579,0.000588451
2.4511e-10,9636.43,14196.3,0.766164,0.000561174,0.218327,0.0143587,0.000588469
2.4512e-10,9581.79,14335.7,0.766164,0.00056122,0.218327,0.0143596,0.000588488
2.4513e-10,9527.4,14474.4,0.766164,0.000561267,0.218326,0.0143604,0.000588506
2.4514e-10,9473.28,14612.5,0.766164,0.000561314,0.218325,0.0143612,0.000588525
2.4515e-10,9419.42,14749.8,0.766164,0.000561362,0.218324,0.0143621,0.000588544
2.4516e-10,9365.85,14886.5,0.766164,0.00056141,0.218323,0.0143629,0.000588564
2.4517e-10,9312.56,15022.4,0.766164,0.000561459,0.218322,0.0143638,0.000588584
2.4518e-10,9259.56,15157.5,0.766164,0.000561508,0.218322,0.0143646,0.000588604
2.4519e-10,9206.88,15291.8,0.766164,0.000561557,0.218321,0.0143655,0.000588624
2.452e-10,9154.5,15425.4,0.766164,0.000561607,0.21832,0.0143663,0.000588645
2.4521e-10,9102.44,15558.1,0.766164,0.000561658,0.218319,0.0143672,0.000588667
2.4522e-10,9050.71,15689.9,0.766163,0.000561708,0.218318,0.0143681,0.000588688
2.4523e-10,8999.31,15821,0.766163,0.000561759,0.218317,0.0143689,0.00058871
2.4524e-10,8948.25,15951.1,0.766163,0.000561811,0.218316,0.0143698,0.000588733
2.4525e-10,8897.55,16080.3,0.766163,0.000561862,0.218315,0.0143707,0.000588756
2.4526e-10,8847.19,16208.7,0.766163,0.000561914,0.218314,0.0143716,0.000588779
2.4527e-10,8797.2,16336.1,0.766163,0.000561966,0.218314,0.0143725,0.000588803
2.4528e-10,8747.58,16462.5,0.766163,0.000562018,0.218313,0.0143734,0.000588828
2.4529e-10,8698.33,16588,0.766163,0.000562071,0.218312,0.0143743,0.000588853
2.453e-10,8649.47,16712.5,0.766163,0.000562123,0.218311,0.0143752,0.000588879
2.4531e-10,8600.99,16836,0.766163,0.000562176,0.21831,0.014376,0.000588905
2.4532e-10,8552.91,16958.5,0.766163,0.000562228,0.218309,0.0143769,0.000588932
2.4533e-10,8505.22,17080,0.766163,0.000562281,0.218308,0.0143778,0.000588959
2.4534e-10,8457.94,17200.5,0.766163,0.000562334,0.218307,0.0143787,0.000588987
2.4535e-10,8411.08,17319.9,0.766163,0.000562386,0.218306,0.0143797,0.000589016
2.4536e-10,8364.62,17438.2,0.766163,0.000562439,0.218305,0.0143806,0.000589046
2.4537e-10,8318.59,17555.5,0.766163,0.000562491,0.218304,0.0143815,0.000589077
2.4538e-10,8272.99,17671.6,0.766162,0.000562543,0.218304,0.0143824,0.000589108
2.4539e-10,8227.82,17786.7,0.766162,0.000562595,0.218303,0.0143833,0.00058914
2.454e-10,8183.09,17900.6,0.766162,0.000562647,0.218302,0.0143842,0.000589173
2.4541e-10,8138.8,18013.4,0.766162,0.000562699,0.218301,0.0143851,0.000589207
2.4542e-10,8094.95,18125.1,0.766162,0.00056275,0.2183,0.014386,0.000589242
2.4543e-10,8051.56,18235.6,0.766162,0.000562801,0.218299,0.0143869,0.000589278
2.4544e-10,8008.62,18345,0.766162,0.000562851,0.218298,0.0143878,0.000589315
2.4545e-10,7966.14,18453.1,0.766162,0.000562901,0.218297,0.0143887,0.000589353
2.4546e-10,7924.12,18560.1,0.766162,0.000562951,0.218296,0.0143896,0.000589393
2.4547e-10,7882.58,18665.9,0.766162,0.000563,0.218295,0.0143905,0.000589433
2.4548e-10,7841.5,18770.5,0.766162,0.000563048,0.218294,0.0143915,0.000589475
2.4549e-10,7800.91,18873.9,0.766162,0.000563096,0.218293,0.0143924,0.000589519
2.455e-10,7760.79,18976,0.766162,0.000563144,0.218292,0.0143933,0.000589563
2.4551e-10,7721.15,19076.9,0.766162,0.00056319,0.218291,0.0143942,0.00058961
2.4552e-10,7682,19176.6,0.766162,0.000563236,0.218291,0.0143951,0.000589657
2.4553e-10,7643.34,19275,0.766161,0.000563281,0.21829,0.014396,0.000589707
2.4554e-10,7605.18,19372.2,0.766161,0.000563326,0.218289,0.0143969,0.000589758
2.4555e-10,7567.51,19468.1,0.766161,0.000563369,0.218288,0.0143978,0.00058981
2.4556e-10,7530.35,19562.7,0.766161,0.000563412,0.218287,0.0143987,0.000589865
2.4557e-10,7493.68,19656.1,0.766161,0.000563453,0.218286,0.0143996,0.000589921
2.4558e-10,7457.52,19748.1,0.766161,0.000563494,0.218285,0.0144005,0.00058998
2.4559e-10,7421.87,19838.9,0.766161,0.000563534,0.218284,0.0144013,0.00059004
2.456e-10,7386.73,19928.3,0.766161,0.000563572,0.218283,0.0144022,0.000590103
2.4561e-10,7352.11,20016.4,0.766161,0.00056361,0.218282,0.0144031,0.000590167
2.4562e-10,7318,20103.3,0.766161,0.000563646,0.218281,0.014404,0.000590234
2.4563e-10,7284.41,20188.8,0.766161,0.000563681,0.21828,0.0144049,0.000590304
2.4564e-10,7251.35,20272.9,0.766161,0.000563714,0.218279,0.0144058,0.000590376
2.4565e-10,7218.8,20355.8,0.766161,0.000563746,0.218279,0.0144066,0.00059045
2.4566e-10,7186.79,20437.3,0.766161,0.000563777,0.218278,0.0144075,0.000590527
2.4567e-10,7155.3,20517.4,0.766161,0.000563807,0.218277,0.0144084,0.000590607
2.4568e-10,7124.34,20596.2,0.76616,0.000563834,0.218276,0.0144092,0.000590689
2.4569e-10,7093.91,20673.6,0.76616,0.000563861,0.218275,0.0144101,0.000590775
2.457e-10,7064.02,20749.7,0.76616,0.000563885,0.218274,0.014411,0.000590863
2.4571e-10,7034.66,20824.4,0.76616,0.000563908,0.218273,0.0144118,0.000590955
2.4572e-10,7005.85,20897.8,0.76616,0.00056393,0.218272,0.0144127,0.00059105
2.4573e-10,6977.57,20969.7,0.76616,0.000563949,0.218271,0.0144135,0.000591148
2.4574e-10,6949.83,21040.3,0.76616,0.000563967,0.21827,0.0144144,0.000591249
2.4575e-10,6922.64,21109.5,0.76616,0.000563982,0.218269,0.0144152,0.000591354
2.4576e-10,6895.99,21177.3,0.76616,0.000563996,0.218269,0.014416,0.000591462
2.4577e-10,6869.88,21243.8,0.76616,0.000564008,0.218268,0.0144169,0.000591574
2.4578e-10,6844.32,21308.8,0.76616,0.000564018,0.218267,0.0144177,0.00059169
2.4579e-10,6819.32,21372.4,0.76616,0.000564026,0.218266,0.0144185,0.00059181
2.458e-10,6794.86,21434.7,0.76616,0.000564031,0.218265,0.0144193,0.000591933
2.4581e-10,6770.95,21495.5,0.76616,0.000564035,0.218264,0.0144201,0.000592061
2.4582e-10,6747.59,21555,0.76616,0.000564036,0.218263,0.0144209,0.000592192
2.4583e-10,6724.79,21613,0.766159,0.000564035,0.218262,0.0144218,0.000592328
2.4584e-10,6702.55,21669.6,0.766159,0.000564032,0.218262,0.0144226,0.000592467
2.4585e-10,6680.85,21724.8,0.766159,0.000564026,0.218261,0.0144233,0.000592611
2.4586e-10,6659.72,21778.5,0.766159,0.000564018,0.21826,0.0144241,0.000592759
2.4587e-10,6639.14,21830.9,0.766159,0.000564008,0.218259,0.0144249,0.000592912
2.4588e-10,6619.12,21881.8,0.766159,0.000563995,0.218258,0.0144257,0.000593069
2.4589e-10,6599.66,21931.4,0.766159,0.00056398,0.218257,0.0144265,0.00059323
2.459e-10,6580.76,21979.4,0.766159,0.000563963,0.218256,0.0144272,0.000593395
2.4591e-10,6562.42,22026.1,0.766159,0.000563943,0.218255,0.014428,0.000593565
2.4592e-10,6544.65,22071.3,0.766159,0.00056392,0.218255,0.0144288,0.00059374
2.4593e-10,6527.43,22115.1,0.766159,0.000563896,0.218254,0.0144295,0.000593919
2.4594e-10,6510.78,22157.5,0.766159,0.000563868,0.218253,0.0144303,0.000594102
2.4595e-10,6494.69,22198.4,0.766159,0.000563839,0.218252,0.014431,0.00059429
2.4596e-10,6479.17,22237.9,0.766159,0.000563806,0.218251,0.0144318,0.000594482
2.4597e-10,6464.21,22276,0.766159,0.000563772,0.21825,0.0144325,0.000594679
2.4598e-10,6449.81,22312.6,0.766159,0.000563735,0.21825,0.0144332,0.00059488
2.4599e-10,6435.98,22347.8,0.766159,0.000563696,0.218249,0.014434,0.000595085
2.46e-10,6422.72,22381.5,0.766158,0.000563654,0.218248,0.0144347,0.000595294
2.4601e-10,6410.02,22413.8,0.766158,0.00056361,0.218247,0.0144354,0.000595508
2.4602e-10,6397.9,22444.6,0.766158,0.000563564,0.218246,0.0144361,0.000595725
2.4603e-10,6386.33,22474,0.766158,0.000563516,0.218245,0.0144368,0.000595947
2.4604e-10,6375.34,22502,0.766158,0.000563466,0.218245,0.0144375,0.000596172
2.4605e-10,6364.92,22528.5,0.766158,0.000563413,0.218244,0.0144383,0.000596401
2.4606e-10,6355.06,22553.6,0.766158,0.000563359,0.218243,0.014439,0.000596633
2.4607e-10,6345.77,22577.2,0.766158,0.000563303,0.218242,0.0144397,0.000596869
2.4608e-10,6337.05,22599.4,0.766158,0.000563245,0.218241,0.0144403,0.000597108
2.4609e-10,6328.9,22620.1,0.766158,0.000563185,0.21824,0.014441,0.00059735
2.461e-10,6321.32,22639.4,0.766158,0.000563124,0.21824,0.0144417,0.000597595
2.4611e-10,6314.31,22657.2,0.766158,0.000563061,0.218239,0.0144424,0.000597843
2.4612e-10,6307.87,22673.6,0.766158,0.000562996,0.218238,0.0144431,0.000598094
2.4613e-10,6302,22688.5,0.766158,0.000562931,0.218237,0.0144438,0.000598346
2.4614e-10,6296.7,22702,0.766158,0.000562864,0.218236,0.0144445,0.000598601
2.4615e-10,6291.97,22714,0.766158,0.000562796,0.218236,0.0144451,0.000598858
2.4616e-10,6287.81,22724.6,0.766158,0.000562727,0.218235,0.0144458,0.000599117
2.4617e-10,6284.22,22733.7,0.766158,0.000562658,0.218234,0.0144465,0.000599377
2.4618e-10,6281.2,22741.3,0.766158,0.000562587,0.218233,0.0144471,0.000599638
2.4619e-10,6278.75,22747.5,0.766157,0.000562516,0.218232,0.0144478,0.0005999
2.462e-10,6276.87,22752.3,0.766157,0.000562445,0.218232,0.0144485,0.000600163
2.4621e-10,6275.57,22755.6,0.766157,0.000562373,0.218231,0.0144492,0.000600427
2.4622e-10,6274.83,22757.5,0.766157,0.000562302,0.21823,0.0144498,0.000600691
2.4623e-10,6274.66,22757.9,0.766157,0.00056223,0.218229,0.0144505,0.000600955
2.4624e-10,6275.06,22756.8,0.766157,0.000562158,0.218228,0.0144512,0.000601219
2.4625e-10,6276.04,22754.3,0.766157,0.000562086,0.218227,0.0144518,0.000601482
2.4626e-10,6277.58,22750.4,0.766157,0.000562015,0.218227,0.0144525,0.000601745
2.4627e-10,6279.7,22745,0.766157,0.000561945,0.218226,0.0144532,0.000602006
2.4628e-10,6282.38,22738.1,0.766157,0.000561875,0.218225,0.0144538,0.000602267
2.4629e-10,6285.63,22729.8,0.766157,0.000561806,0.218224,0.0144545,0.000602526
2.463e-10,6289.46,22720.1,0.766157,0.000561737,0.218223,0.0144552,0.000602784
2.4631e-10,6293.85,22708.9,0.766157,0.00056167,0.218223,0.0144559,0.00060304
2.4632e-10,6298.81,22696.2,0.766157,0.000561604,0.218222,0.0144566,0.000603294
2.4633e-10,6304.34,22682.1,0.766157,0.000561539,0.218221,0.0144572,0.000603545
2.4634e-10,6310.44,22666.6,0.766157,0.000561476,0.21822,0.0144579,0.000603794
2.4635e-10,6317.11,22649.6,0.766157,0.000561413,0.218219,0.0144586,0.00060404
2.4636e-10,6324.34,22631.1,0.766157,0.000561353,0.218219,0.0144593,0.000604284
2.4637e-10,6332.15,22611.2,0.766157,0.000561294,0.218218,0.01446,0.000604525
2.4638e-10,6340.52,22589.9,0.766156,0.000561237,0.218217,0.0144607,0.000604762
2.4639e-10,6349.46,22567.1,0.766156,0.000561182,0.218216,0.0144614,0.000604996
2.464e-10,6358.96,22542.9,0.766156,0.000561129,0.218215,0.0144621,0.000605227
2.4641e-10,6369.04,22517.2,0.766156,0.000561077,0.218214,0.0144628,0.000605453
2.4642e-10,6379.68,22490.1,0.766156,0.000561028,0.218214,0.0144635,0.000605677
2.4643e-10,6390.88,22461.6,0.766156,0.000560981,0.218213,0.0144642,0.000605896
2.4644e-10,6402.65,22431.6,0.766156,0.000560936,0.218212,0.0144649,0.000606111
2.4645e-10,6414.98,22400.2,0.766156,0.000560894,0.218211,0.0144656,0.000606323
2.4646e-10,6427.88,22367.3,0.766156,0.000560853,0.21821,0.0144664,0.00060653
2.4647e-10,6441.35,22333,0.766156,0.000560815,0.218209,0.0144671,0.000606733
2.4648e-10,6455.37,22297.3,0.766156,0.00056078,0.218209,0.0144678,0.000606932
2.4649e-10,6469.96,22260.1,0.766156,0.000560746,0.218208,0.0144686,0.000607126
2.465e-10,6485.11,22221.5,0.766156,0.000560715,0.218207,0.0144693,0.000607316
2.4651e-10,6500.82,22181.5,0.766156,0.000560687,0.218206,0.0144701,0.000607502
2.4652e-10,6517.09,22140,0.766156,0.000560661,0.218205,0.0144708,0.000607683
2.4653e-10,6533.93,22097.1,0.766156,0.000560637,0.218204,0.0144716,0.00060786
2.4654e-10,6551.32,22052.8,0.766156,0.000560616,0.218203,0.0144723,0.000608033
2.4655e-10,6569.27,22007.1,0.766155,0.000560597,0.218203,0.0144731,0.000608201
2.4656e-10,6587.78,21960,0.766155,0.000560581,0.218202,0.0144739,0.000608364
2.4657e-10,6606.84,21911.4,0.766155,0.000560567,0.218201,0.0144747,0.000608524
2.4658e-10,6626.46,21861.4,0.766155,0.000560556,0.2182,0.0144754,0.000608679
2.4659e-10,6646.64,21810,0.766155,0.000560546,0.218199,0.0144762,0.000608829
2.466e-10,6667.37,21757.2,0.766155,0.00056054,0.218198,0.014477,0.000608976
2.4661e-10,6688.65,21703,0.766155,0.000560535,0.218197,0.0144778,0.000609118
2.4662e-10,6710.49,21647.4,0.766155,0.000560533,0.218197,0.0144786,0.000609256
2.4663e-10,6732.87,21590.3,0.766155,0.000560533,0.218196,0.0144794,0.00060939
2.4664e-10,6755.81,21531.9,0.766155,0.000560535,0.218195,0.0144802,0.000609519
2.4665e-10,6779.3,21472.1,0.766155,0.000560539,0.218194,0.014481,0.000609645
2.4666e-10,6803.33,21410.8,0.766155,0.000560546,0.218193,0.0144819,0.000609767
2.4667e-10,6827.91,21348.2,0.766155,0.000560555,0.218192,0.0144827,0.000609885
2.4668e-10,6853.03,21284.2,0.766155,0.000560565,0.218191,0.0144835,0.00061
2.4669e-10,6878.7,21218.8,0.766155,0.000560578,0.21819,0.0144843,0.00061011
2.467e-10,6904.91,21152,0.766155,0.000560592,0.218189,0.0144852,0.000610218
2.4671e-10,6931.66,21083.9,0.766154,0.000560609,0.218189,0.014486,0.000610321
2.4672e-10,6958.95,21014.4,0.766154,0.000560627,0.218188,0.0144869,0.000610422
2.4673e-10,6986.78,20943.5,0.766154,0.000560647,0.218187,0.0144877,0.000610519
2.4674e-10,7015.14,20871.2,0.766154,0.000560669,0.218186,0.0144886,0.000610612
2.4675e-10,7044.04,20797.6,0.766154,0.000560693,0.218185,0.0144894,0.000610703
2.4676e-10,7073.47,20722.6,0.766154,0.000560718,0.218184,0.0144903,0.00061079
2.4677e-10,7103.43,20646.3,0.766154,0.000560745,0.218183,0.0144911,0.000610875
2.4678e-10,7133.92,20568.6,0.766154,0.000560773,0.218182,0.014492,0.000610957
2.4679e-10,7164.93,20489.6,0.766154,0.000560803,0.218181,0.0144929,0.000611036
2.468e-10,7196.47,20409.2,0.766154,0.000560835,0.21818,0.0144937,0.000611112
2.4681e-10,7228.54,20327.5,0.766154,0.000560867,0.218179,0.0144946,0.000611186
2.4682e-10,7261.12,20244.5,0.766154,0.000560901,0.218179,0.0144955,0.000611257
2.4683e-10,7294.22,20160.1,0.766154,0.000560937,0.218178,0.0144964,0.000611326
2.4684e-10,7327.84,20074.5,0.766154,0.000560973,0.218177,0.0144973,0.000611392
2.4685e-10,7361.97,19987.5,0.766154,0.000561011,0.218176,0.0144981,0.000611457
2.4686e-10,7396.61,19899.2,0.766153,0.00056105,0.218175,0.014499,0.000611519
2.4687e-10,7431.76,19809.7,0.766153,0.00056109,0.218174,0.0144999,0.000611579
2.4688e-10,7467.41,19718.8,0.766153,0.000561131,0.218173,0.0145008,0.000611637
2.4689e-10,7503.57,19626.7,0.766153,0.000561172,0.218172,0.0145017,0.000611693
2.469e-10,7540.23,19533.3,0.766153,0.000561215,0.218171,0.0145026,0.000611747
2.4691e-10,7577.38,19438.6,0.766153,0.000561259,0.21817,0.0145035,0.000611799
2.4692e-10,7615.03,19342.6,0.766153,0.000561304,0.218169,0.0145044,0.00061185
2.4693e-10,7653.17,19245.4,0.766153,0.000561349,0.218168,0.0145053,0.000611899
2.4694e-10,7691.79,19147,0.766153,0.000561395,0.218167,0.0145062,0.000611947
2.4695e-10,7730.9,19047.3,0.766153,0.000561442,0.218167,0.0145071,0.000611993
2.4696e-10,7770.49,18946.4,0.766153,0.000561489,0.218166,0.014508,0.000612037
2.4697e-10,7810.56,18844.3,0.766153,0.000561538,0.218165,0.0145089,0.00061208
2.4698e-10,7851.1,18741,0.766153,0.000561586,0.218164,0.0145098,0.000612122
2.4699e-10,7892.12,18636.4,0.766153,0.000561636,0.218163,0.0145107,0.000612163
2.47e-10,7933.59,18530.7,0.766153,0.000561685,0.218162,0.0145116,0.000612202
2.4701e-10,7975.53,18423.8,0.766152,0.000561735,0.218161,0.0145126,0.00061224
2.4702e-10,8017.93,18315.7,0.766152,0.000561786,0.21816,0.0145135,0.000612277
2.4703e-10,8060.78,18206.5,0.766152,0.000561837,0.218159,0.0145144,0.000612313
2.4704e-10,8104.08,18096.1,0.766152,0.000561888,0.218158,0.0145153,0.000612348
2.4705e-10,8147.83,17984.6,0.766152,0.00056194,0.218157,0.0145162,0.000612382
2.4706e-10,8192.02,17872,0.766152,0.000561992,0.218156,0.0145171,0.000612415
2.4707e-10,8236.64,17758.2,0.766152,0.000562044,0.218155,0.014518,0.000612447
2.4708e-10,8281.69,17643.3,0.766152,0.000562096,0.218155,0.0145189,0.000612479
2.4709e-10,8327.17,17527.4,0.766152,0.000562148,0.218154,0.0145198,0.000612509
2.471e-10,8373.07,17410.3,0.766152,0.000562201,0.218153,0.0145207,0.000612539
2.4711e-10,8419.39,17292.3,0.766152,0.000562254,0.218152,0.0145216,0.000612568
2.4712e-10,8466.12,17173.1,0.766152,0.000562306,0.218151,0.0145225,0.000612596
2.4713e-10,8513.25,17052.9,0.766152,0.000562359,0.21815,0.0145234,0.000612624
2.4714e-10,8560.78,16931.7,0.766152,0.000562412,0.218149,0.0145243,0.00061265
2.4715e-10,8608.71,16809.5,0.766152,0.000562464,0.218148,0.0145252,0.000612677
2.4716e-10,8657.02,16686.3,0.766151,0.000562517,0.218147,0.0145261,0.000612702
2.4717e-10,8705.72,16562.1,0.766151,0.000562569,0.218146,0.014527,0.000612728
2.4718e-10,8754.79,16436.9,0.766151,0.000562621,0.218145,0.0145279,0.000612752
2.4719e-10,8804.23,16310.8,0.766151,0.000562673,0.218144,0.0145288,0.000612776
2.472e-10,8854.04,16183.8,0.766151,0.000562725,0.218144,0.0145297,0.0006128
2.4721e-10,8904.2,16055.8,0.766151,0.000562777,0.218143,0.0145305,0.000612823
2.4722e-10,8954.71,15927,0.766151,0.000562828,0.218142,0.0145314,0.000612846
2.4723e-10,9005.57,15797.2,0.766151,0.000562879,0.218141,0.0145323,0.000612868
2.4724e-10,9056.76,15666.6,0.766151,0.00056293,0.21814,0.0145332,0.00061289
2.4725e-10,9108.28,15535.2,0.766151,0.00056298,0.218139,0.014534,0.000612911
2.4726e-10,9160.12,15402.9,0.766151,0.00056303,0.218138,0.0145349,0.000612932
2.4727e-10,9212.28,15269.8,0.766151,0.00056308,0.218137,0.0145357,0.000612953
2.4728e-10,9264.74,15135.9,0.766151,0.000563129,0.218137,0.0145366,0.000612973
2.4729e-10,9317.51,15001.2,0.766151,0.000563178,0.218136,0.0145374,0.000612993
2.473e-10,9370.56,14865.8,0.766151,0.000563226,0.218135,0.0145383,0.000613013
2.4731e-10,9423.9,14729.7,0.766151,0.000563274,0.218134,0.0145391,0.000613032
2.4732e-10,9477.51,14592.8,0.766151,0.000563321,0.218133,0.01454,0.000613051
2.4733e-10,9531.39,14455.3,0.76615,0.000563367,0.218132,0.0145408,0.00061307
2.4734e-10,9585.53,14317.1,0.76615,0.000563413,0.218131,0.0145416,0.000613088
2.4735e-10,9639.92,14178.2,0.76615,0.000563459,0.218131,0.0145424,0.000613106
2.4736e-10,9694.55,14038.7,0.76615,0.000563504,0.21813,0.0145432,0.000613124
2.4737e-10,9749.41,13898.7,0.76615,0.000563548,0.218129,0.014544,0.000613142
2.4738e-10,9804.49,13758,0.76615,0.000563591,0.218128,0.0145448,0.000613159
2.4739e-10,9859.79,13616.8,0.76615,0.000563634,0.218127,0.0145456,0.000613177
2.474e-10,9915.29,13475,0.76615,0.000563676,0.218127,0.0145464,0.000613193
2.4741e-10,9970.98,13332.7,0.76615,0.000563718,0.218126,0.0145472,0.00061321
2.4742e-10,10026.9,13190,0.76615,0.000563758,0.218125,0.014548,0.000613227
2.4743e-10,10082.9,13046.7,0.76615,0.000563798,0.218124,0.0145487,0.000613243
2.4744e-10,10139.1,12903.1,0.76615,0.000563838,0.218124,0.0145495,0.000613259
2.4745e-10,10195.5,12759,0.76615,0.000563876,0.218123,0.0145502,0.000613275
2.4746e-10,10252,12614.6,0.76615,0.000563914,0.218122,0.014551,0.000613291
2.4747e-10,10308.7,12469.8,0.76615,0.000563951,0.218121,0.0145517,0.000613306
2.4748e-10,10365.4,12324.6,0.76615,0.000563987,0.218121,0.0145524,0.000613322
2.4749e-10,10422.3,12179.2,0.76615,0.000564022,0.21812,0.0145531,0.000613337
2.475e-10,10479.3,12033.5,0.76615,0.000564056,0.218119,0.0145538,0.000613352
2.4751e-10,10536.4,11887.5,0.76615,0.00056409,0.218118,0.0145545,0.000613366
2.4752e-10,10593.5,11741.3,0.76615,0.000564123,0.218118,0.0145552,0.000613381
2.4753e-10,10650.8,11594.9,0.76615,0.000564155,0.218117,0.0145559,0.000613395
2.4754e-10,10708,11448.3,0.766149,0.000564186,0.218116,0.0145566,0.00061341
2.4755e-10,10765.4,11301.7,0.766149,0.000564216,0.218116,0.0145572,0.000613424
2.4756e-10,10822.7,11154.9,0.766149,0.000564245,0.218115,0.0145579,0.000613438
2.4757e-10,10880.1,11008,0.766149,0.000564274,0.218114,0.0145585,0.000613451
2.4758e-10,10937.5,10861.1,0.766149,0.000564302,0.218114,0.0145591,0.000613465
2.4759e-10,10994.8,10714.1,0.766149,0.000564328,0.218113,0.0145598,0.000613478
2.476e-10,11052.2,10567.2,0.766149,0.000564354,0.218113,0.0145604,0.000613492
2.4761e-10,11109.5,10420.3,0.766149,0.00056438,0.218112,0.014561,0.000613505
2.4762e-10,11166.8,10273.5,0.766149,0.000564404,0.218111,0.0145615,0.000613518
2.4763e-10,11224,10126.8,0.766149,0.000564427,0.218111,0.0145621,0.00061353
2.4764e-10,11281.2,9980.23,0.766149,0.00056445,0.21811,0.0145627,0.000613543
2.4765e-10,11338.3,9833.84,0.766149,0.000564472,0.21811,0.0145632,0.000613555
2.4766e-10,11395.3,9687.65,0.766149,0.000564493,0.218109,0.0145638,0.000613568
2.4767e-10,11452.2,9541.69,0.766149,0.000564513,0.218109,0.0145643,0.00061358
2.4768e-10,11508.9,9396,0.766149,0.000564533,0.218108,0.0145648,0.000613591
2.4769e-10,11565.6,9250.61,0.766149,0.000564552,0.218107,0.0145653,0.000613603
2.477e-10,11622.1,9105.55,0.766149,0.00056457,0.218107,0.0145658,0.000613615
2.4771e-10,11678.4,8960.86,0.766149,0.000564587,0.218107,0.0145663,0.000613626
2.4772e-10,11734.5,8816.57,0.766149,0.000564603,0.218106,0.0145668,0.000613637
2.4773e-10,11790.5,8672.71,0.766149,0.000564619,0.218106,0.0145672,0.000613648
2.4774e-10,11846.3,8529.31,0.766149,0.000564634,0.218105,0.0145677,0.000613659
2.4775e-10,11901.8,8386.41,0.766149,0.000564649,0.218105,0.0145681,0.00061367
2.4776e-10,11957.1,8244.05,0.766149,0.000564662,0.218104,0.0145685,0.00061368
2.4777e-10,12012.2,8102.25,0.766149,0.000564676,0.218104,0.014569,0.000613691
2.4778e-10,12067,7961.06,0.766149,0.000564688,0.218103,0.0145694,0.000613701
2.4779e-10,12121.5,7820.5,0.766149,0.0005647,0.218103,0.0145697,0.000613711
2.478e-10,12175.8,7680.6,0.766149,0.000564711,0.218103,0.0145701,0.00061372
2.4781e-10,12229.7,7541.41,0.766149,0.000564722,0.218102,0.0145705,0.00061373
2.4782e-10,12283.4,7402.96,0.766149,0.000564732,0.218102,0.0145708,0.000613739
2.4783e-10,12336.7,7265.28,0.766149,0.000564742,0.218102,0.0145712,0.000613748
2.4784e-10,12389.7,7128.4,0.766149,0.000564751,0.218101,0.0145715,0.000613757
2.4785e-10,12442.3,6992.36,0.766149,0.000564759,0.218101,0.0145718,0.000613766
2.4786e-10,12494.5,6857.19,0.766149,0.000564767,0.218101,0.0145721,0.000613775
2.4787e-10,12546.3,6722.93,0.766149,0.000564775,0.2181,0.0145724,0.000613783
2.4788e-10,12597.8,6589.61,0.766149,0.000564782,0.2181,0.0145727,0.000613791
2.4789e-10,12648.8,6457.26,0.766149,0.000564789,0.2181,0.014573,0.000613799
2.479e-10,12699.4,6325.92,0.766149,0.000564796,0.218099,0.0145732,0.000613807
2.4791e-10,12749.6,6195.62,0.766149,0.000564802,0.218099,0.0145735,0.000613815
2.4792e-10,12799.3,6066.39,0.766149,0.000564807,0.218099,0.0145737,0.000613822
2.4793e-10,12848.5,5938.26,0.766149,0.000564813,0.218099,0.0145739,0.000613829
2.4794e-10,12897.2,5811.28,0.766149,0.000564818,0.218099,0.0145741,0.000613836
2.4795e-10,12945.5,5685.46,0.766149,0.000564822,0.218098,0.0145743,0.000613843
2.4796e-10,12993.2,5560.85,0.766149,0.000564827,0.218098,0.0145745,0.00061385
2.4797e-10,13040.4,5437.47,0.766149,0.000564831,0.218098,0.0145747,0.000613856
2.4798e-10,13087,5315.35,0.766149,0.000564835,0.218098,0.0145749,0.000613862
2.4799e-10,13133.1,5194.53,0.766149,0.000564838,0.218098,0.0145751,0.000613868
2.48e-10,13178.6,5075.04,0.766149,0.000564842,0.218097,0.0145752,0.000613874
2.4801e-10,13223.6,4956.9,0.766149,0.000564845,0.218097,0.0145754,0.000613879
2.4802e-10,13267.9,4840.15,0.766149,0.000564848,0.218097,0.0145755,0.000613885
2.4803e-10,13311.6,4724.81,0.766149,0.000564851,0.218097,0.0145756,0.00061389
2.4804e-10,13354.7,4610.92,0.766149,0.000564853,0.218097,0.0145758,0.000613895
2.4805e-10,13397.2,4498.5,0.766149,0.000564856,0.218097,0.0145759,0.0006139
2.4806e-10,13439,4387.58,0.766149,0.000564858,0.218097,0.014576,0.000613904
2.4807e-10,13480.1,4278.19,0.766149,0.00056486,0.218097,0.0145761,0.000613909
2.4808e-10,13520.6,4170.35,0.766149,0.000564862,0.218096,0.0145762,0.000613913
2.4809e-10,13560.3,4064.1,0.766149,0.000564864,0.218096,0.0145763,0.000613917
2.481e-10,13599.4,3959.45,0.766149,0.000564866,0.218096,0.0145763,0.000613921
2.4811e-10,13637.7,3856.44,0.766149,0.000564867,0.218096,0.0145764,0.000613924
